,Region,Population,jan_cases,jan_rate,feb_cases,feb_rate,mar_cases,mar_rate,apr_cases,apr_rate,may_cases,may_rate,jun_cases,jun_rate,jul_cases,jul_rate,aug_cases,aug_rate,sep_cases,sep_rate,oct_cases,oct_rate,nov_cases,nov_rate,dec_cases,dec_rate,total
14,Greece,10445365,139447,0.013350131852740426,157495,0.015077979563184244,192270,0.01840720740730458,267172,0.02557804346712633,346422,0.03316514071073629,404163,0.038693047107496964,423185,0.040514141918448994,494907,0.047380536726098134,590832,0.056564035818757886,658368,0.0630296787139559,747595,0.07157193645219674,945095,0.09047984440945817,5366951
15,Hungary,9709786,325278,0.03350001740512098,368710,0.03797303050757246,432925,0.044586461534785626,661721,0.06814990567248341,781299,0.08046511014763869,804712,0.0828763888308146,808160,0.08323149449431738,809491,0.08336857269562893,812531,0.08368165889546897,823384,0.0847993972266742,874630,0.09007716544937241,1114260,0.11475639112952644,8617101
16,Iceland,370335,5754,0.015537283810603913,6009,0.016225849568633804,6054,0.01634736117299202,6205,0.016755100112060703,6472,0.017476068964586117,6576,0.01775689578354733,6649,0.017954014608395102,8051,0.021739776148622193,10856,0.029313999486951004,11839,0.03196835297770937,13739,0.03709884293950072,18055,0.04875315592639097,106259
17,Ireland,4986526,93532,0.01875694621867007,197553,0.03961736086405646,220273,0.04417363912270787,236600,0.047447862499864636,249437,0.05002219982408595,262380,0.05261779443243653,272784,0.05470421692376617,302074,0.06057804571759979,354236,0.07103863491336454,390989,0.07840909683414866,448449,0.08993214915554436,573905,0.11509114762461882,3602212
18,Italy,59240330,2129376,0.035944701861046355,2560957,0.04322995837464106,2938371,0.04960085468801406,3607083,0.060888975466544495,4035617,0.06812279742533507,4220304,0.07124038640568005,4260788,0.0719237722004587,4355348,0.07351998207977573,4546487,0.07674648335010963,4675758,0.07892862852046909,4774783,0.08060020935062313,5043620,0.08513828332826641,47148492
19,Kosovo,1662010,51502,0.030987779856920236,60218,0.03623203229824128,68451,0.041185672769718594,91079,0.05480051263229463,103638,0.062357025529328945,107021,0.06439251268042911,107768,0.0648419684598769,108465,0.06526134018447542,146880,0.08837491952515328,160114,0.09633756716265245,160767,0.09673046491898364,161099,0.09693022304318265,1327002
20,Latvia,1873919,41615,0.022207470013378378,66652,0.03556823960907595,86458,0.04613753315911734,103001,0.054965556141967714,119370,0.06370072559166111,133518,0.0712506783911151,137500,0.07337563683382259,138899,0.07412220058604455,143106,0.07636722825266193,159418,0.08507198016563149,219911,0.11735352488554734,254690,0.13591302505604563,1604138
21,Liechtenstein,39040,2245,0.05750512295081967,2567,0.0657530737704918,2652,0.06793032786885246,2756,0.07059426229508196,3028,0.07756147540983606,3103,0.07948258196721311,3133,0.08025102459016394,3190,0.08171106557377049,3403,0.08716700819672131,3558,0.09113729508196722,3662,0.09380122950819672,4745,0.12154200819672131,38042
22,Lithuania,2786651,147862,0.053060824624253274,184754,0.06629965503394576,199400,0.07155542620873587,217010,0.07787483972696976,248883,0.08931258345591177,275126,0.09872998089821797,279184,0.10018620918084109,283427,0.10170882539650641,300194,0.10772572525228312,334541,0.1200512730155301,413028,0.14821662274895564,475656,0.17069091177904946,3359065
23,Luxembourg,639321,46415,0.07260046205270905,50733,0.07935450266767398,55480,0.08677956769760417,61881,0.09679175249991788,67205,0.10511933754717896,69983,0.10946457256996095,70895,0.1108910860115654,73870,0.11554446045100975,75904,0.11872596082406178,78326,0.12251435507358588,81683,0.12776523843264964,89766,0.14040833947265927,822141
24,Malta,526748,12909,0.02450697487223492,18027,0.034223195911517464,22657,0.04301297774267771,29085,0.05521615649228853,30307,0.05753605139459476,30543,0.0579840834706539,30627,0.05814355251467495,34375,0.06525890938361417,36247,0.06881279093608329,37163,0.07055176289231284,37673,0.07151996780244063,39530,0.07504537273990598,359143
25,Monaco,36686,885,0.024123643896854386,1499,0.040860273673881044,1965,0.05356266695742245,2305,0.06283050755056425,2457,0.06697377746279234,2506,0.0683094368423922,2580,0.07032655508913482,2891,0.078803903396391,3211,0.08752657689581857,3314,0.09033418742844682,3414,0.09306002289701794,3797,0.10349997274164531,30824
26,Moldova,3061507,145258,0.04744656798106292,160086,0.052289934336259884,186447,0.060900399705112546,231756,0.07569997390174185,251160,0.08203802898376518,255241,0.0833710326319685,256816,0.08388548515486001,259549,0.08477818277077269,268105,0.08757288485703282,295681,0.0965802136006875,339114,0.1107670176811616,364433,0.11903712779359969,3013646
27,Montenegro,627859,48589,0.0773883945280708,61972,0.09870368984119046,76283,0.12149702401335331,91573,0.14584962547323524,97517,0.15531671919969292,99652,0.15871716420406493,100272,0.1597046470624774,102092,0.16260338706620436,115956,0.18468477795173757,131946,0.21015227941305292,144692,0.23045301572486818,157611,0.2510292916084662,1228155
28,Netherlands,17501696,816616,0.04665924948073604,995300,0.05686877431764327,1107347,0.06327083958034696,1301127,0.07434290939575228,1528753,0.08734884893441185,1679093,0.09593887358116608,1713576,0.09790913977708217,1897729,0.10843114861553989,1979421,0.11309881053813299,2043240,0.11674525714536466,2179710,0.12454278716759792,2703052,0.15444514634467427,19944964
29,Norway,5403021,49803,0.009217621030901046,63262,0.011708634854463827,71735,0.013276831609575457,96770,0.017910350524271514,113259,0.020962161723968867,125576,0.023241812312038024,131509,0.024339901695736514,137853,0.025514059634415637,161814,0.029948800865293695,189915,0.03514978009524671,208615,0.03861080680604425,271623,0.05027243092336676,1621734
30,Poland,38307726,1305774,0.03408643989987816,1515889,0.03957136479466309,1711772,0.04468477194391544,2356970,0.0615272752029186,2798617,0.07305620281402242,2872868,0.07499448022573828,2880010,0.07518091781276706,2883029,0.07525972698040077,2889036,0.07541653607943212,2908432,0.07592285691925435,3030151,0.07910025773913075,3569137,0.09317016102704713,30721685
31,Portugal,10290103,420629,0.040877044670981424,726321,0.07058442466513698,804956,0.07822623349834303,822314,0.07991309707978628,836947,0.0813351430981789,849538,0.08255874601060845,882006,0.08571401083157282,970937,0.09435639273970338,1039492,0.1010186195415148,1069975,0.10398098055966981,1091142,0.10603800564484146,1151919,0.11194436051806284,10666176
32,Romania,19328560,636201,0.032915074894353226,730056,0.03777084273220561,804090,0.0416011332453116,958918,0.04961145579391325,1056572,0.05466377215891924,1077978,0.05577125248854545,1080823,0.05591844400203636,1083341,0.056048717545435355,1100208,0.05692136403332685,1244555,0.06438943201148974,1655024,0.08562583037743111,1780808,0.09213350606563551,13208574
33,Russia,145102755,3153960,0.021736044915205092,3825739,0.026365722690792466,4209850,0.029012888142613144,4503291,0.03103518606521289,4759902,0.032803663858759956,5022881,0.03461602779354534,5472722,0.03771618257696072,6207513,0.04278011813076878,6838652,0.04712971852257388,7425057,0.051171027042181245,8417305,0.05800927074058656,9500836,0.06547660656064043,69337708
34,San Marino,33746,2384,0.07064540982634979,3025,0.089640253659693,3716,0.11011675457832039,4738,0.14040182540152907,5066,0.1501214958809933,5090,0.15083269128192972,5092,0.15089195756534107,5143,0.15240324779233094,5331,0.15797427843299947,5440,0.161204290878919,5547,0.16437503704142714,6084,0.18028803413737923,56656
35,Serbia,7296769,339997,0.04659555482707483,397002,0.05440791670943674,462728,0.0634154651188766,605406,0.08296905109645104,690931,0.09468999224177167,712702,0.09767364158026655,716643,0.0982137436446186,722221,0.09897819158041045,766279,0.10501620648810453,949260,0.13009319604334466,1148645,0.1574183039095797,1257025,0.17227145329665774,8768839
36,Slovakia,5447622,285079,0.052330906953529446,439325,0.08064527972021554,592135,0.10869605123116105,710422,0.13040956219062189,755233,0.13863535318713377,771363,0.14159627815586323,775066,0.14227602429096586,776512,0.14254146121004724,780075,0.1431955080583785,805983,0.14795134464175377,902044,0.16558491025992625,1182562,0.21707857116371143,8775799
37,Slovenia,2119410,123950,0.05848325713288132,166836,0.0787181338202613,190324,0.0898004633364946,216939,0.10235820346228432,241309,0.11385668653068542,254045,0.11986590607763481,257358,0.12142907696009739,259273,0.12233263030749124,267962,0.12643235617459575,294335,0.13887591357972265,337108,0.15905747354216504,423162,0.1996602828145569,3032601
38,Spain,47486935,1928265,0.040606221479655404,2822805,0.05944382386439554,3204531,0.06748237173024538,3291394,0.06931156959277325,3524077,0.07421150680708283,3682778,0.07755349971523746,3821305,0.08047065998258257,4447044,0.09364773700387274,4861883,0.10238359245548276,4961128,0.1044735357209304,5011148,0.10552687807709636,5174720,0.10897144656735584,46731078
39,Sweden,10467097,437379,0.04178608452754379,566957,0.054165639240756056,657309,0.06279764102692466,813191,0.07769021343740294,973604,0.09301566613933165,1068473,0.10207921069232472,1090553,0.10418867810243852,1100040,0.10509504211148517,1127917,0.10775834025422713,1153655,0.11021728374161431,1171512,0.1119232964020492,1207498,0.11536130791565226,11368088
40,Switzerland,8691407,452296,0.05203944539704561,525095,0.0604154195057256,557492,0.06414289424025361,603092,0.06938945558526945,659974,0.07593408063849731,695496,0.0800211059037967,703176,0.08090473728822042,717665,0.08257178613313126,782869,0.09007390863182452,841573,0.09682816602651331,877098,0.10091553646032225,1025129,0.11794741633891957,8440955
41,Ukraine,43531422,1096855,0.025196856652190226,1263833,0.029032660591698567,1399934,0.03215916080113349,1742710,0.04003338094491836,2132742,0.04899316176714834,2263167,0.05198927340347393,2301221,0.05286344654672664,2334433,0.05362638969156579,2387052,0.05483514873463127,2545904,0.058484282916372456,3073125,0.07059555738840785,3619223,0.08314047264525382,26160199
42,North Macedonia,2103330,83743,0.03981448465053035,92753,0.044098168142897215,103020,0.04897947540328907,131424,0.062483775727061375,152581,0.07254258723072461,155304,0.07383720100982727,155689,0.07402024408913485,156452,0.07438300219176258,177399,0.08434197201580351,191820,0.09119824278643865,202705,0.09637336984686189,215995,0.10269192185724542,1818885
43,United Kingdom,67281040,2549671,0.03789583216906278,3846807,0.05717520121567681,4194287,0.06233980628123465,4364544,0.06487034088652613,4434156,0.06590498601091778,4506331,0.0669777250767824,4844879,0.07200957357377354,5907641,0.08780543523108442,6856890,0.10191414995963201,7878555,0.1170991857438589,9140352,0.13585331023420566,10333452,0.15358638927103385,68857565
