,Region,Population,jan_cases,jan_rate,feb_cases,feb_rate,mar_cases,mar_rate,apr_cases,apr_rate,may_cases,may_rate,jun_cases,jun_rate,jul_cases,jul_rate,aug_cases,aug_rate,sep_cases,sep_rate,oct_cases,oct_rate,nov_cases,nov_rate,dec_cases,dec_rate,total
66,Ciudad de Mexico,9209944,334137,0.03628002515541897,482472,0.05238598627744099,556885,0.060465622809432934,610654,0.06630376905657624,641559,0.06965938120796392,659928,0.07165385587577948,686968,0.07458981292394394,787339,0.0854879247908565,897323,0.0974297997903136,948222,0.10295632633596903,971426,0.10547577705141313,985173,0.10696840284805206,8562086
67,Jalisco,8348151,52399,0.006276719239984998,70362,0.008428453198798152,78194,0.00936662501672526,82746,0.009911895460443876,85514,0.010243465888434456,87165,0.010441234232586354,89103,0.010673381446981493,106645,0.012774685076970936,134418,0.016101529548279613,154803,0.018543387631584526,161006,0.01928642641945504,163415,0.019574993312890483,1265770
68,Veracruz,8062579,43211,0.005359451361654875,51213,0.006351937760857909,55208,0.006847436781704712,57888,0.007179836625476786,59840,0.00742194278034361,61649,0.007646312674889759,65681,0.008146400798057297,80461,0.009979561130501791,104507,0.012961981519808985,118027,0.014638864313763622,122285,0.015166983170025372,123954,0.015373988893628204,943924
69,Puebla,6583278,47636,0.007235908919538261,61988,0.00941597787606721,71072,0.010795837575141139,78568,0.011934480056895668,83427,0.012672562209889967,85246,0.012948868329728747,86427,0.01312826224260923,91287,0.013866496295614435,107725,0.016363428674894178,119442,0.018143241102684712,123943,0.01882694305177451,125812,0.019110844172158612,1082573
70,Guanajuato,6166934,83520,0.013543196667906612,107803,0.017480809750842152,119423,0.019365052390701767,127898,0.020739317138792145,130812,0.02121183719494971,132002,0.021404801802646176,133102,0.02158317244841602,138894,0.0225223749759605,155578,0.025227771206891462,174641,0.02831893449808284,188805,0.030615699795068344,196638,0.03188586094808214,1689116
71,Nuevo Leon,5784442,83209,0.014384965740861434,107137,0.018521579090947753,115310,0.019934507079507408,120006,0.02074633992353973,122617,0.02119772313388223,124326,0.021493170819242374,127566,0.02205329399101936,143203,0.02475657980493192,178937,0.03093418518156116,197356,0.034118416262104455,204018,0.035270126314690335,207089,0.035801033185223395,1730774
72,Chiapas,5543828,8293,0.0014958977803784677,9350,0.0016865602612490863,10001,0.0018039881468184078,10462,0.001887143684832935,10949,0.0019749891230391708,11533,0.002080331496576012,12353,0.00222824373339144,14570,0.002628147915122908,19885,0.0035868717427741266,22323,0.004026640076135118,23237,0.004191508105951339,23522,0.00424291662728353,176478
73,Michoacan,4748846,33235,0.006998542382717823,40395,0.008506277103953255,43224,0.009102000780821278,45343,0.009548214450415954,47234,0.009946416455703133,48524,0.01021806139849555,49349,0.010391787815397678,53927,0.01135581149609821,64996,0.013686693567237177,71075,0.014966794037962064,72977,0.015367312395474605,73623,0.015503345444345847,643902
74,Oaxaca,4132148,28404,0.0068739067429337,35308,0.008544708466395686,40496,0.00980022980783844,43658,0.010565449253027723,46007,0.011133918727015586,47254,0.011435698818144945,48737,0.01179459206204618,55367,0.01339908444712048,68105,0.016481742667494,77209,0.018684955137134487,81515,0.01972702817033659,83263,0.020150052708663872,655323
75,Baja California,3769020,34889,0.009256782930310797,42237,0.011206361335307322,44909,0.011915298937124239,46452,0.012324689176496808,47731,0.01266403468275573,49501,0.013133652779767685,50812,0.013481488556707048,52768,0.014000456352049074,57000,0.015123294649537546,61326,0.016271073117149815,69508,0.018441929201755365,81310,0.021573247157085928,638443
76,Chihuahua,3741869,36517,0.009759026839261343,40845,0.010915668079240614,43227,0.011552248355033273,46533,0.012435764052669936,52625,0.014063827461624124,56116,0.014996783692855094,57839,0.015457248770601001,60321,0.01612055365914734,62955,0.016824479959079274,65557,0.01751985438293003,68612,0.018336291302554954,73529,0.019650340511653402,664676
77,Guerrero,3540685,26024,0.00734999018551495,31599,0.008924544261915421,35355,0.009985355941011414,37766,0.01066629762320003,39712,0.011215908786011747,41168,0.011627128648834901,41977,0.01185561550942826,52029,0.014694614177765037,68681,0.019397658927580396,74651,0.021083773337645117,76251,0.02153566329679144,77049,0.02176104341391567,602262
78,Tamaulipas,3527735,39416,0.011173174855821087,48283,0.013686685649574018,51686,0.014651327268062935,54568,0.015468282056333596,56733,0.016081990285551493,59866,0.016970095542890834,65848,0.018665801144360332,73193,0.020747873635633064,86887,0.024629684485937862,97067,0.02751538876928114,101382,0.02873855320765307,103153,0.029240575043193436,838082
79,Hidalgo,3082841,24599,0.007979328158669228,31921,0.010354410104186366,34544,0.011205248665111175,36719,0.01191076672458943,38331,0.012433661028901588,39012,0.012654561166145124,39650,0.012861513130258745,44552,0.014451604867069045,54887,0.017804032060038128,60366,0.019581288817684728,61980,0.020104831874235486,62715,0.02034324832192124,529276
80,Sinaloa,3026943,26847,0.008869344417783883,31310,0.010343769274809601,33960,0.01121924000551051,36278,0.0119850291201387,37861,0.012507998994364942,39317,0.012989012346780234,42907,0.01417502741214486,57738,0.0190746902072487,67950,0.022448391000425182,71846,0.023735498157712254,73464,0.024270030852910015,74602,0.024645987717641198,594080
81,Sonora,2944840,52146,0.01770758343407452,63062,0.021414406215617826,67780,0.02301653060947284,70597,0.02397311908287038,73435,0.02493683867374798,75365,0.025592222327868407,79931,0.02714273101424865,88800,0.030154439629996876,101129,0.03434108474484183,108229,0.036752081607150135,112063,0.03805401991279662,118138,0.0401169503266731,1010675
82,San Luis Potosi,2822255,39968,0.014161725287048831,50976,0.018062152427757237,57330,0.020313543602544774,60350,0.02138360991476674,62582,0.02217446687134933,64334,0.02279524706307545,65581,0.023237092325108823,71280,0.025256399581185966,90407,0.03203360433412289,99391,0.03521687444968651,103140,0.03654524484853424,105372,0.03733610180511683,870711
83,Tabasco,2402598,44592,0.018559908898617247,52936,0.02203281614319166,57490,0.023928264320539683,61166,0.025458274750915468,64764,0.026955820324498732,68581,0.02854451722676869,76968,0.032035321764190265,87667,0.03648841795423121,114908,0.04782656108096319,134802,0.05610676442750722,142169,0.05917302852994966,143696,0.05980859053408019,1049739
84,Yucatan,2320898,26748,0.011524849433279704,30240,0.013029439466964943,32833,0.014146679431840607,35195,0.015164388956343621,37280,0.01606274812594091,40104,0.017279518531189222,47295,0.020377888213958563,54511,0.023487029589408927,62033,0.026728016483275007,70292,0.030286552877377637,73672,0.031742885727851895,75165,0.03238617121476256,585368
